display_name,organization,website,type_0,type_1,type_2,country,country_code,region,ror,,
DataCite,DataCite,https://datacite.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/04wxnsj81,,
DeSci Labs,DeSci Labs,https://desci.com/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/04qdrz239,,
Directory of Open Access Books - DOAB,Directory of Open Access Books - DOAB,https://doabooks.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/01q0bmy69,,
Directory of Open Access Journals - DOAJ,Directory of Open Access Journals - DOAJ,https://doaj.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/05amyt365,,
Dryad,Dryad,https://datadryad.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/00x6h5n95,,
Europe PMC,Europe PMC,https://europepmc.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/04rjz5883,,
eLife,eLife,https://elifesciences.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/04rjz5883,,
Érudit,Érudit,https://www.erudit.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/05xay3m79,,
euroCRIS,euroCRIS,https://eurocris.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/04340dw19,,
4Science,4Science,https://www.4science.com,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/03vb2cr34,,
International Interactive Computing Collaboration - 2i2c,International Interactive Computing Collaboration - 2i2c,https://2i2c.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/050gv4c78,,
Invest in Open Infrastructure - IOI,Invest in Open Infrastructure - IOI,http://investinopen.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/0588n4k65,,
Knowledge E,Knowledge E,https://knowledgee.com/,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Latindex,Latindex,https://latindex.org,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Liberate Science GmbH,Liberate Science GmbH,https://libscie.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/0342dzm54,,
Matilda,Matilda,https://matilda.science/?l=en,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
MoreBrains Cooperative,MoreBrains Cooperative,https://morebrains.coop,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/03nmrhk91,,
OAPEN Foundation,OAPEN Foundation,https://oapen.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/00mv0bm80,,
OA.Works,OA.Works,https://oa.works,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
OpenAIRE,OpenAIRE,https://www.openaire.eu,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/019kf3481,,
OpenCitations,OpenCitations,https://opencitations.net,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/00wb4mk85,,
Openventio Publishers,Openventio Publishers,https://openventio.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Open Book Collective,Open Book Collective,https://openbookcollective.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/043be3q74,,
Open Knowledge Maps,Open Knowledge Maps,https://openknowledgemaps.org,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Open Research Knowledge Graph - ORKG,Open Research Knowledge Graph - ORKG,https://orkg.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
OPERAS,OPERAS,https://operas-eu.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/00rfexj26,,
ORCID,ORCID,https://orcid.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/04fa4r544,,
OurResearch,OurResearch,https://ourresearch.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/02nr0ka47,,
Peer Community In - PCI,Peer Community In - PCI,https://peercommunityin.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/0315saa81,,
PLOS (Public Library of Science),PLOS (Public Library of Science),https://plos.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/008zgvp64,,
PREreview,PREreview,https://prereview.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/00d496d44,,
protocols.io,protocols.io,https://protocols.io/welcome,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Public Knowledge Project - PKP,Public Knowledge Project - PKP,https://pkp.sfu.ca,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/05ek4tb53,,
Research Data Alliance - RDA,Research Data Alliance - RDA,https://www.rd-alliance.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/05dc6w374,,
Research Data Alliance Association - RDA Europe,Research Data Alliance Association - RDA Europe,https://www.rd-alliance.org/regions-rda-europe/,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Redalyc,Redalyc,https://www.redalyc.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Research Organization Registry - ROR,Research Organization Registry - ROR,https://ror.org,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Science Colab,Science Colab,https://www.sciencecolab.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
SPARC Europe,SPARC Europe,https://sparceurope.org,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Reviewer Credits,Reviewer Credits,https://reviewercredits.com,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
The Association of Lithuanian Serials,The Association of Lithuanian Serials,https://serials.lt/en/,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Thoth Open Metadata,Thoth Open Metadata,https://thoth.pub,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/00dyx6f45,,
Ubiquity,Ubiquity,https://ubiquity.pub/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/00qpqrv96,,
VIVO,VIVO,https://vivo.lyrasis.org,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
World Data System,World Data System,https://worlddatasystem.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/01pwmqe95,,
